EUNIS_Code,EUNIS_Description,Suitability Value (1 - 10)
,,Bufo bufo
C,Water,10
D1,Raised and blanket bogs,10
D2,"Valley mires, poor fens and transition mires",10
D4,Base-rich fens and calcareous spring mires,10
E1,Dry grasslands,7
E2,Mesic grasslands,7
E3,Seasonally wet and wet grasslands,8
E4,Alpine and subalpine grasslands,6
E5,Woodland fringes and clearings and tall forb stands,6
F2,"Arctic, alpine and subalpine scrub",4
F3,Temperate and mediterranean-montane scrub,10
F4,Temperate shrub heathland,10
F9,Riverine and fen scrubs,8
G1,Broadleaved deciduous woodland,7
G3.F,Highly artificial coniferous plantations,6
G4,Mixed deciduous and coniferous woodland,8
G5,"Lines of trees, small anthropogenic woodlands, recently felled woodland, early-stage woodland and coppice",9
H2,Screes,4
H3,"Inland cliffs, rock pavements and outcrops",2
I1,Arable land and market gardens,3
J,Built-up,2
O,Bare land,3
OW,Windthrow,8
A2.5,Coastal saltmarshes,4
B1,Coastal dunes and sandy shores,4
B2,Coastal shingle,1
B3,"Rock cliffs, ledges and shores",1
 , ,
 , ,
